نام,کد_ملی,تاریخ_تولد_میلادی,پایه_تحصیلی,رشته_تحصیلی,وزن,قد,معدل,شماره_تلفن,شهریه
سجاد کریمی,1463031617,2006-08-14,نهم,علوم تجربی,63.9 lb,184,13.47,09842524105,"$15,000,000 "
,6688937346,12-May-10,دهم ,ادبیات و علوم انسانی,87,1.79,,0999 016 2720,25000000
ترانه جعفری,4589297500,2011-02-26,هشتم,ادبیات و علوم انسانی,84 kg,167,11.32,09424154152,"25,000,000"
زهرا نجفی,2048996423,1279756800,دهم,فنی حرفه‌ای,145.5 lb,194,نامشخص,00989016668700,"$5,000,000 "
نگار نجفی,5614978403,2012-09-20,7,فنی حرفه‌ای,66,189,13.28,ندارد,"$75,000,000 "
مریم نجفی,3040785932,2008-09-14,هفتم,فنی حرفه‌ای,77 kg,,12.37,0955-905-9929,"$30,000,000 "
,0974395339,2007.07.15,هشتم,نامشخص,33 kg,168,11.31,ندارد,"$15,000,000 "
فاطمه صادقی,0284395995,18/02/2008,پایه دهم,فنی حرفه‌ای,54 kg,1.55,21.91,,2000000
پریسا رضایی,0792524191,2011-09-16,هفتم,ریاضی فیزیک,59 kg,163,19.31,9.89086E+11,"$60,000,000 "
رها حسینی,2748467737,21-04-2010,پایه 9,ادبیات و علوم انسانی,36 kg,1.9 m,17.88,ندارد,30000000
سجاد حسینی,1390053293,20-03-2012,10,فنی حرفه‌ای,154.3 lb,1900,18.58,9.89228E+11,"12,000,000"
ماهان نجفی,8501429401,16-Nov-09, یازدهم,,93 kg,176,14.36,9.89884E+11,"$15,000,000 "
,3246095396,,دوازدهم,علوم تجربی,95kg,,13.9,0970-654-0515,"75,000,000"
ماهان طاهری,2232536729,24-Aug-10,12ام,علوم تجربی,39 kg,187,,9.89578E+11,"$45,000,000 "
ماهان بهرامی,4270866882,10-11-2008,12,نامشخص,38,194,18.29,ندارد,"$12,000,000 "
سبحان نوری,3091307562,15-Apr-08,پایه 9,,194 pound,187 cm,15.19,9.89858E+11,"$45,000,000 "
,0978820812,2006.10.06,دهم,ریاضی,43,176,16.19,0969 985 4353,25000000
پارسا احمدی,6184959310,31/03/2009,دهم,علوم تجربی,76 kg,1.8 m,13.55,0941 928 3276,"75,000,000"
نیلوفر,52204727,09-Feb-10,دهم ,,32kg,1.83,14.44,9.89193E+11,0 تومان
فاطمه صادقی,0284395995,18/02/2008,پایه دهم,فنی حرفه‌ای,54 kg,1.55,21.91,,2000000
شقایق رضایی,7980793597,1157932800,هشتم,علوم انسانی,38kg,151,19.91,9.89889E+11,"75,000,000"
علی نجفی,1819600133,,10,نامشخص,81 kg,177,75.9,09265423511,"$5,000,000 "
  سجاد طاهری  ,3407451713,05-Aug-12, یازدهم,ادبیات و علوم انسانی,99.2 lb,192,13.51,ندارد,"$75,000,000 "
شقایق رستمی,6578091343,13/11/2010,هشتم,تجربی,108.0 lb,141,21.47,00989562386922,"5,000,000"
مریم,4516808760,نامعلوم,پایه دهم,نامشخص,185.2 lb,153,12.88,ندارد,25000000
دانیال رضایی,0163159996,2009-08-29,11,تجربی,90 kg,1750,16.8,09619431142,75000000
زهرا کریمی,3292127799,2012.05.01,12,نامشخص,68 kg,1.44,17.96,09905814770,"$20,000,000 "
فاطمه کاظمی,6417080531,2006-06-14,دهم,فنی حرفه‌ای,30kg,155,15.64,0937 452 9912,"5,000,000"
آرش طاهری,2545738757,28-Jan-11,8,کاردانش,73 pound,147,11.09,,12000000 تومان
دانیال رستمی,4874016400,2007.06.20,11,ادبیات و علوم انسانی,84kg,1.67,19.45,09280598262,"$15,000,000 "
یاسمن کریمی,0047868633,2007-09-28,10,علوم تجربی,71 pound,1.66,,09033119079,12000000 تومان
شقایق احمدی,3158692322,04/12/2006,12,ریاضی,59 kg,190 cm,10.39,0973-375-4330,25000000
امیر فروزان,1226916697,2012-03-16,هشتم,نامشخص,136.7 lb,161,14.54,00989482814893,20000000 تومان
آرمین زارعی,4874016400,2012-06-18,نهم,تجربی,207.2 lb,157,16.35,9.89718E+11,"25,000,000"
ماهان قاسمی,10371293,08/11/2009, یازدهم,ادبیات و علوم انسانی,89 kg,164,20.52,09542622189,"60,000,000"
یاسمن  شریفی,2595269495,,پایه دهم,,66 kg,141,19.8,09940974993,"$60,000,000 "
زهرا طاهری,8339187851,2007-04-05,پایه 9,فنی حرفه‌ای,47 kg,1.94,12.05,09971870728,"30,000,000"
ترانه رستمی,1329121277,,دوازدهم,فنی حرفه‌ای,85 kg,1.56 m,18.08,09490352135,45000000
سبحان  رستمی,5277221704,2008-03-28,12,کاردانش,93 kg,1.92,17.53,09345054156,3000000
بهار احمدی,06174451,2008-04-01,یازدهم,,59 kg,,نامشخص,9.89383E+11,"$75,000,000 "
پریسا بهرامی,1031051834,,9,,88 kg,1.7 m,10.97,9.89657E+11,5000000
کیان,6449251925,05/25/2010,8,کاردانش,76kg,1.61 m,18.29,0981-685-0542,2000000
شقایق احمدی,15969664,08/23/2009,12ام,علوم انسانی,39 kg,146,15.24,ندارد,45000000
رویا کاظمی,3396360576,1189900800,هفتم,ادبیات و علوم انسانی,92,1.61 m,44,9.8987E+11,"60,000,000"
سبحان نجفی,3484344375,2012-04-14,یازدهم,علوم تجربی,168 pound,1.65 m,نامشخص,0924-041-5747,"$12,000,000 "
امیر,3158692322,2007.06.02,پایه دهم,علوم تجربی,29kg,1.7,19.65,00989471167190,"$8,500,000 "
آرمین قاسمی,3747407482,نامعلوم,یازدهم,نامشخص,180.8 lb,1.69 m,13.85,09713695944,"$75,000,000 "
امیرحسین بهرامی,0284395995,2007.08.10,پایه 9,فنی حرفه‌ای,80 kg,1.43,17.35,09268705685,25000000
رویا  نجفی,9330833016,19/04/2011,9,ریاضی فیزیک,48 kg,1.7,19.64,09540193802,850000
سارا رستمی,0799118384,30/11/2009,دهم,علوم انسانی,64 kg,1.93,19.84,ندارد,8500000
حسین امینی,6774186256,2010-12-31,11,تجربی,87 kg,193,17.52,09115869380,"$45,000,000 "
نگار احمدی,2048996423,نامعلوم,دهم,تجربی,71 kg,1.92,17.4,09725228728,45000000
سارا صادقی,6239240758,15/10/2011,یازدهم,علوم تجربی,48 kg,172,19.46,0937-506-0685,
الناز,0552696582,2006-10-26,8,ریاضی فیزیک,61 kg,1430,12.86,0986 661 8892,5000000
امیر نجفی,5060983584,1314489600,11,,43 kg,146,21.7,09523986800,8500000 تومان
رها صادقی,0047113826,22-Jan-12,9,ریاضی,88 pound,1.79,نامشخص,ندارد,"$75,000,000 "
دانیال محمدی,9620153368,2012-01-22,یازدهم,کاردانش,58 kg,1.65,20.78,09506149731,12000000
پریسا کاظمی,1931491905,26/02/2010,پایه 9,نامشخص,71 kg,1.66 m,19.61,,"$25,000,000 "
,7240049915,,پایه دهم,ادبیات و علوم انسانی,92 kg,1.52 m,17.31,09420549329,"$25,000,000 "
حسین یوسفی,0067626765,1171929600,دهم,ادبیات و علوم انسانی,85 kg,194,12.61,9.89115E+11,
نیلوفر رستمی,1803397401,,هفتم,ادبیات و علوم انسانی,68 kg,1.53,23.57,9.89614E+11,25000000 تومان
سبحان جعفری,6973112196,25-Oct-10,9,فنی حرفه‌ای,63kg,1.55,16.08,09043898364,"$12,000,000 "
  حسین قاسمی  ,9993867749,نامعلوم,هفتم,,40,1.53,10.81,,15000000
فاطمه احمدی,6184959310,2010-07-02,8,فنی حرفه‌ای,68 kg,171,,09724238849,"$60,000,000 "
مهدی امینی,8416169284,24-Nov-06,یازدهم,کاردانش,85kg,167,14.47,00989596401658,0
پریسا بهرامی,9847896118,30-May-08,12ام,فنی حرفه‌ای,80 kg,169,13.13,09545271111,5000000 تومان
نیلوفر صادقی,2513412528,09/08/2012,دهم ,ریاضی,51 kg,1.74,20,09827422579,
